,nome_infraestrutura,resumo_infraestrutura,data,tipo_de_infraestrutura,medida
0,ARADE,108.1,2020-10-01,bacia,metro_cubico
1,ARADE,114.5,2020-11-01,bacia,metro_cubico
2,ARADE,128.8,2020-12-01,bacia,metro_cubico
3,ARADE,130.0,2021-01-01,bacia,metro_cubico
4,ARADE,169.6,2021-02-01,bacia,metro_cubico
5,ARADE,178.2,2021-03-01,bacia,metro_cubico
6,ARADE,175.5,2021-04-01,bacia,metro_cubico
7,ARADE,169.6,2021-05-01,bacia,metro_cubico
8,ARADE,161.7,2021-06-01,bacia,metro_cubico
9,ARADE,152.1,2021-07-01,bacia,metro_cubico
10,ARADE,142.9,2021-08-01,bacia,metro_cubico
11,ARADE,137.2,2021-09-01,bacia,metro_cubico
12,ARADE,131.6,2021-10-01,bacia,metro_cubico
13,ARADE,128.1,2021-11-01,bacia,metro_cubico
14,ARADE,127.0,2021-12-01,bacia,metro_cubico
15,ARADE,124.0,2022-01-01,bacia,metro_cubico
16,ARADE,121.4,2022-02-01,bacia,metro_cubico
17,ARADE,94.1,2019-10-01,bacia,metro_cubico
18,ARADE,92.8,2019-11-01,bacia,metro_cubico
19,ARADE,125.2,2019-12-01,bacia,metro_cubico
20,ARADE,134.6,2020-01-01,bacia,metro_cubico
21,ARADE,135.0,2020-02-01,bacia,metro_cubico
22,ARADE,135.1,2020-03-01,bacia,metro_cubico
23,ARADE,142.4,2020-04-01,bacia,metro_cubico
24,ARADE,140.2,2020-05-01,bacia,metro_cubico
25,ARADE,133.2,2020-06-01,bacia,metro_cubico
26,ARADE,125.6,2020-07-01,bacia,metro_cubico
27,ARADE,118.2,2020-08-01,bacia,metro_cubico
28,ARADE,134.1,2018-10-01,bacia,metro_cubico
29,ARADE,132.1,2018-11-01,bacia,metro_cubico
30,ARADE,128.8,2018-12-01,bacia,metro_cubico
31,ARADE,126.1,2019-01-01,bacia,metro_cubico
32,ARADE,127.9,2019-02-01,bacia,metro_cubico
33,ARADE,126.2,2019-03-01,bacia,metro_cubico
34,ARADE,126.2,2019-04-01,bacia,metro_cubico
35,ARADE,121.8,2019-05-01,bacia,metro_cubico
36,ARADE,116.1,2019-06-01,bacia,metro_cubico
37,ARADE,109.3,2019-07-01,bacia,metro_cubico
38,ARADE,102.5,2019-08-01,bacia,metro_cubico
39,ARADE,99.1,2017-10-01,bacia,metro_cubico
40,ARADE,95.7,2017-11-01,bacia,metro_cubico
41,ARADE,93.3,2017-12-01,bacia,metro_cubico
42,ARADE,91.1,2018-01-01,bacia,metro_cubico
43,ARADE,89.4,2018-02-01,bacia,metro_cubico
44,ARADE,162.4,2018-03-01,bacia,metro_cubico
45,ARADE,180.1,2018-04-01,bacia,metro_cubico
46,ARADE,176.6,2018-05-01,bacia,metro_cubico
47,ARADE,168.8,2018-06-01,bacia,metro_cubico
48,ARADE,158.7,2018-07-01,bacia,metro_cubico
49,ARADE,147.8,2018-08-01,bacia,metro_cubico
50,ARADE,101.9,2016-10-01,bacia,metro_cubico
51,ARADE,99.4,2016-11-01,bacia,metro_cubico
52,ARADE,111.6,2016-12-01,bacia,metro_cubico
53,ARADE,123.4,2017-01-01,bacia,metro_cubico
54,ARADE,141.9,2017-02-01,bacia,metro_cubico
55,ARADE,149.1,2017-03-01,bacia,metro_cubico
56,ARADE,146.4,2017-04-01,bacia,metro_cubico
57,ARADE,140.9,2017-05-01,bacia,metro_cubico
58,ARADE,132.0,2017-06-01,bacia,metro_cubico
59,ARADE,122.7,2017-07-01,bacia,metro_cubico
60,ARADE,111.6,2017-08-01,bacia,metro_cubico
61,ARADE,121.5,2015-10-01,bacia,metro_cubico
62,ARADE,128.6,2015-11-01,bacia,metro_cubico
63,ARADE,124.7,2015-12-01,bacia,metro_cubico
64,ARADE,129.5,2016-01-01,bacia,metro_cubico
65,ARADE,129.9,2016-02-01,bacia,metro_cubico
66,ARADE,128.5,2016-03-01,bacia,metro_cubico
67,ARADE,128.4,2016-04-01,bacia,metro_cubico
68,ARADE,144.0,2016-05-01,bacia,metro_cubico
69,ARADE,135.5,2016-06-01,bacia,metro_cubico
70,ARADE,125.3,2016-07-01,bacia,metro_cubico
